text;cleaned_array;cleaned_text;label;topic_name;tsne-2d-one;tsne-2d-two
телефон не хочет работать с вашей сим-картой! В чем дело?;['телефон', 'хотеть', 'работать', 'ваш', 'сим', 'карта', 'дело'];телефон хотеть работать ваш сим карта дело;3;sim-cards;10.269869;12.154261
Сколько минут входит в пакет на тарифе Плутон?;['сколько', 'минута', 'входить', 'пакет', 'тариф', 'плутон'];сколько минута входить пакет тариф плутон;5;tariffs;-11.105058;-2.13156
Симка не работает. Пробовала вставлять в разные телефоны. ;['симка', 'работать', 'пробовать', 'вставлять', 'разный', 'телефон'];симка работать пробовать вставлять разный телефон;3;sim-cards;9.108711;0.25031877
приобрел сегодня сим карту, но она почему то не работает;['приобрести', 'сегодня', 'сим', 'карта', 'почему', 'работать'];приобрести сегодня сим карта почему работать;3;sim-cards;10.69232;11.759813
Сколько будут стоить звонки на другие операторы внутри тарифа Плутон?;['сколько', 'стоить', 'звонок', 'оператор', 'внутри', 'тариф', 'плутон'];сколько стоить звонок оператор внутри тариф плутон;5;tariffs;-0.97404385;11.366175
привет. При смене тарифа в середине месяца мне придется в полном размере оплачивать абонентку?;['привет', 'смена', 'тариф', 'середина', 'месяц', 'прийтись', 'полный', 'размер', 'оплачивать', 'абонентка'];привет смена тариф середина месяц прийтись полный размер оплачивать абонентка;5;tariffs;2.5829463;-6.2662425
Звонки в другие регионы платные ли бесплатные в тарифе Юпитер;['звонок', 'регион', 'платный', 'бесплатный', 'тариф', 'юпитер'];звонок регион платный бесплатный тариф юпитер;5;tariffs;-8.3175955;-6.4088335
Сколько будет стоить минута разговора из Челябинской области в Ульяновскую область?;['сколько', 'стоить', 'минута', 'разговор', 'челябинский', 'область', 'ульяновский', 'область'];сколько стоить минута разговор челябинский область ульяновский область;2;costs;3.665138;11.578411
на Юпитер как проверяется остаток пакета?;['юпитер', 'проверяться', 'остаток', 'пакет'];юпитер проверяться остаток пакет;1;balance_1;-8.623399;4.4386835
приветствую! не помню свой пин код, что делать?;['приветствовать', 'помнить', 'свой', 'пин', 'код', 'делать'];приветствовать помнить свой пин код делать;4;pin-codes;16.393969;1.1974437
Какие именно звонки входят в 400минут тарифа Сатурн, вы не мог ли бы уточнить?;['именно', 'звонок', 'входить', 'минута', 'тариф', 'сатурн', 'мочь', 'уточнить'];именно звонок входить минута тариф сатурн мочь уточнить;5;tariffs;-7.974295;-5.1623707
"При поездках по России на тарифе ""Сатурн"" исходящие звонки на номера Сфера расходуются из пакета или они безлимитны";['поездка', 'россия', 'тариф', 'сатурн', 'исходящий', 'звонок', 'номер', 'сфера', 'расходоваться', 'пакет', 'безлимитный'];поездка россия тариф сатурн исходящий звонок номер сфера расходоваться пакет безлимитный;5;tariffs;-11.499033;-8.228468
здравствуйте такой вопрос вот купил себе новый телефон meizu mx5 вставил нано симкарту и не работает! но в сим карту заходит я вижу всех обонентов на симкарте что делать?;['здравствуйте', 'вопрос', 'купить', 'новый', 'телефон', 'meizu', 'mx', 'вставить', 'нано', 'симкарта', 'работать', 'сим', 'карта', 'заходить', 'видеть', 'весь', 'обонент', 'симкарта', 'делать'];здравствуйте вопрос купить новый телефон meizu mx вставить нано симкарта работать сим карта заходить видеть весь обонент симкарта делать;3;sim-cards;10.630442;6.3318977
Телефон не может найти новую симку, со старого переставил, как решить проблему;['телефон', 'мочь', 'найти', 'новый', 'симка', 'старое', 'переставить', 'решить', 'проблема'];телефон мочь найти новый симка старое переставить решить проблема;3;sim-cards;10.629118;-4.202844
интернет в роуминге дорогой?;['интернет', 'роуминг', 'дорога'];интернет роуминг дорога;4;pin-codes;2.4683738;-12.8434515
укажите оставшиеся смс;['указать', 'остаться', 'смс'];указать остаться смс;6;balance_2;-4.0926595;7.475556
с какого периуда начинаеться месяц если переключить тариф ;['периуда', 'начинаеться', 'месяц', 'переключить', 'тариф'];периуда начинаеться месяц переключить тариф;5;tariffs;2.2883914;-6.570127
У вас что антенны сломались телефон не ловит сеть ни одной палки;['антенна', 'сломаться', 'телефон', 'ловить', 'сеть', 'палка'];антенна сломаться телефон ловить сеть палка;3;sim-cards;10.299714;-3.4284089
когда привышу лимит сколько стоит минута;['привыша', 'лимит', 'сколько', 'стоить', 'минута'];привыша лимит сколько стоить минута;2;costs;3.6585085;12.337504
на тарифе Сатурн в пакет 400 минут входят звонки на городские телефоны россии не только Москвы?;['тариф', 'сатурн', 'пакет', 'минута', 'входить', 'звонок', 'городской', 'телефон', 'россия', 'москва'];тариф сатурн пакет минута входить звонок городской телефон россия москва;5;tariffs;-8.703592;-5.616219
На Конус 970 пропал звук и не обнаруживает сим карту что случилось подскажите?;['конус', 'пропасть', 'звук', 'обнаруживать', 'сим', 'карта', 'случиться', 'подсказать'];конус пропасть звук обнаруживать сим карта случиться подсказать;3;sim-cards;6.762058;3.5480459
где мне узнать как работают минуты из пакета?;['узнать', 'работать', 'минута', 'пакет'];узнать работать минута пакет;6;balance_2;-4.642075;3.28774
да, спасибо. не мобты ты мне сказать какой пин от инета?;['спасибо', 'мобт', 'сказать', 'пин', 'инет'];спасибо мобт сказать пин инет;4;pin-codes;10.405183;-11.333675
Забыла пароль, осталось 2 попытки;['забыть', 'пароль', 'остаться', 'попытка'];забыть пароль остаться попытка;6;balance_2;-3.5747478;4.3560543
Как проверить остаток трафика на тарифе Уран;['проверить', 'остаток', 'трафик', 'тариф', 'уран'];проверить остаток трафик тариф уран;1;balance_1;-10.661768;4.998372
Как узнать сколько стоит переход на тариф ,,Плутон;['узнать', 'сколько', 'стоить', 'переход', 'тариф', 'плутон'];узнать сколько стоить переход тариф плутон;2;costs;-0.14881761;11.026452
у меня сколько смсок в день;['сколько', 'смска', 'день'];сколько смска день;2;costs;-1.311722;4.3256288
"сколько минут полагается по тарифу ""Плутон""";['сколько', 'минута', 'полагаться', 'тариф', 'плутон'];сколько минута полагаться тариф плутон;5;tariffs;-10.137863;-2.2697103
Вот у меня свой тариф есть, и как узнать мне о том сколько у меня минут смс и интернета осталось?;['свой', 'тариф', 'узнать', 'сколько', 'минута', 'смс', 'интернет', 'остаться'];свой тариф узнать сколько минута смс интернет остаться;6;balance_2;-6.671179;13.26679
Доброе утро. У меня месяц проработала сим карта и три дня уже перестала как работать .;['добрый', 'утро', 'месяц', 'проработать', 'сим', 'карта', 'день', 'перестать', 'работать'];добрый утро месяц проработать сим карта день перестать работать;3;sim-cards;9.311666;6.980301
как можно проверить остаток мегабайт и минут на тарифе;['проверить', 'остаток', 'мегабайт', 'минута', 'тариф'];проверить остаток мегабайт минута тариф;1;balance_1;-9.845781;3.188703
Сколько предоплаченных минут мне ещё доступно в этом месяце?;['сколько', 'предоплатить', 'минута', 'ещё', 'доступно', 'это', 'месяц'];сколько предоплатить минута ещё доступно это месяц;6;balance_2;-2.3095362;4.5267715
Я забыла свой пинкод, как мне его получить?;['забыть', 'свой', 'пинкод', 'получить'];забыть свой пинкод получить;4;pin-codes;6.863323;-11.382256
ВЕСЬ ДЕНЬ НЕРАБОТАЕТ ТЕЛЕФОН! НИ У МЕНЯ НИ У МУЖА!!! ПИШЕТ ЧТО НЕ ЗАРЕГИСТРИРОВАН В СЕТИ. ПРОСЬБА РАЗОБРАТЬСЯ. ЖИВЕМ В Г.ПУШКИНО;['весь', 'день', 'неработать', 'телефон', 'муж', 'писать', 'зарегистрировать', 'сеть', 'просьба', 'разобраться', 'жить', 'г', 'пушкино'];весь день неработать телефон муж писать зарегистрировать сеть просьба разобраться жить г пушкино;3;sim-cards;7.1141763;-6.2014184
телефон не видет сеть, чего делать?;['телефон', 'видти', 'сеть', 'делать'];телефон видти сеть делать;3;sim-cards;10.471493;0.465783
Будет ли сниматься абонентская плата в конце календарного месяца, или месяца с момента подключения?;['сниматься', 'абонентский', 'плата', 'конец', 'календарный', 'месяц', 'месяц', 'момент', 'подключение'];сниматься абонентский плата конец календарный месяц месяц момент подключение;5;tariffs;2.942384;-5.7175865
какая стоимость звонков, инета, сообщений в роуминге по России. ТП Аполлон;['стоимость', 'звонок', 'инет', 'сообщение', 'роуминг', 'россия', 'тп', 'аполлон'];стоимость звонок инет сообщение роуминг россия тп аполлон;5;tariffs;-7.869941;-10.279825
Привет! у меня телефон не видит сеть. что нужно настроить?;['привет', 'телефон', 'видеть', 'сеть', 'нужно', 'настроить'];привет телефон видеть сеть нужно настроить;3;sim-cards;6.252205;2.642369
Пропадает сеть, что делать?;['пропадать', 'сеть', 'делать'];пропадать сеть делать;3;sim-cards;10.646485;-5.1974225
настройки интернета запрашивают пин-код;['настройка', 'интернет', 'запрашивать', 'пин', 'код'];настройка интернет запрашивать пин код;4;pin-codes;16.590174;4.168436
Если забыл pin, где можно получить новый?;['забыть', 'pin', 'получить', 'новый'];забыть pin получить новый;4;pin-codes;7.058496;-11.429938
приветик, у меня вопрос - как посмотреть остаток пакета;['приветик', 'вопрос', 'посмотреть', 'остаток', 'пакет'];приветик вопрос посмотреть остаток пакет;1;balance_1;-8.654907;4.4669523
сколько трафика я использовал;['сколько', 'трафик', 'использовать'];сколько трафик использовать;6;balance_2;-1.3290564;4.3132243
Скажите, на тарифе Сатурн внутри сети безлимит на звонки?;['сказать', 'тариф', 'сатурн', 'внутри', 'сеть', 'безлимит', 'звонок'];сказать тариф сатурн внутри сеть безлимит звонок;5;tariffs;-8.570969;-9.758586
я путешествую по России, сколько буду платить за исходящие. Вызовы?;['путешествовать', 'россия', 'сколько', 'платить', 'исходящий', 'вызов'];путешествовать россия сколько платить исходящий вызов;2;costs;-0.047396403;3.4342687
когда снимается абон плата на тарифе Сатурн;['сниматься', 'абон', 'плата', 'тариф', 'сатурн'];сниматься абон плата тариф сатурн;5;tariffs;-5.289175;-7.0450583
Выставила новую сим- карту в телефон час назад, а сети нет, что делать?;['выставить', 'новый', 'сим', 'карта', 'телефон', 'час', 'назад', 'сеть', 'делать'];выставить новый сим карта телефон час назад сеть делать;3;sim-cards;12.16883;8.814757
меня интересуют звонки внутри сети по тарифу.;['интересовать', 'звонок', 'внутри', 'сеть', 'тариф'];интересовать звонок внутри сеть тариф;5;tariffs;-8.548351;-10.74587
Не помню какой пин-код у симки. Что делать?;['помнить', 'пин', 'код', 'симка', 'делать'];помнить пин код симка делать;4;pin-codes;16.289816;2.383553
какой пин требуется для настроек интернета?;['пин', 'требоваться', 'настройка', 'интернет'];пин требоваться настройка интернет;4;pin-codes;14.841278;-5.3875246
Сколько мне будет стоить позвонить в Испанию;['сколько', 'стоить', 'позвонить', 'испания'];сколько стоить позвонить испания;2;costs;2.4518106;14.737079
90коп за минуту с Сфера на Аполлон или я ошибаюсь? ;['копа', 'минута', 'сфера', 'аполлон', 'ошибаться'];копа минута сфера аполлон ошибаться;5;tariffs;-1.302447;-3.2017078
проинформируйте по пакету плиз;['проинформировать', 'пакет', 'плиз'];проинформировать пакет плиз;1;balance_1;1.0324858;-1.1896802
сколько возьмете за sms-ку в Москву;['сколько', 'взять', 'sms', 'ку', 'москва'];сколько взять sms ку москва;2;costs;-0.4160047;4.0049067
во сколько встанет с Сатурн на Аполлон перейти?;['сколько', 'встать', 'сатурн', 'аполлон', 'перейти'];сколько встать сатурн аполлон перейти;2;costs;0.1149751;3.4391854
Минуту включенные в пакет по тарифу только на вызовы внутри сети?;['минута', 'включить', 'пакет', 'тариф', 'вызов', 'внутри', 'сеть'];минута включить пакет тариф вызов внутри сеть;5;tariffs;-5.2782974;-2.3324978
не взымается плата за тариф Сатурн;['взымаяться', 'плата', 'тариф', 'сатурн'];взымаяться плата тариф сатурн;5;tariffs;-5.4815226;-6.8912387
точно пропал пин;['точно', 'пропасть', 'пин'];точно пропасть пин;4;pin-codes;10.189531;-11.421642
Не понял эти 400 минут на все распространяются? А то не понял из описания;['понять', 'минута', 'всё', 'распространяться', 'понять', 'описание'];понять минута всё распространяться понять описание;6;balance_2;-1.0359833;0.0034773797
 Спасибо Вам за бесплатный пакет 50 минут, 50 мб и 100 смс) Как их проверить остаток.;['спасибо', 'бесплатный', 'пакет', 'минута', 'мб', 'смс', 'проверить', 'остаток'];спасибо бесплатный пакет минута мб смс проверить остаток;1;balance_1;-8.919947;2.8724558
"Подскажите, пож-та, сколько стоит звонок на городской номер тел. в Челябинске в рамках тарифа ""Плутон""?";['подсказать', 'пож', 'сколько', 'стоить', 'звонок', 'городской', 'номер', 'тел', 'челябинск', 'рамка', 'тариф', 'плутон'];подсказать пож сколько стоить звонок городской номер тел челябинск рамка тариф плутон;2;costs;0.27830178;8.058609
Сколько стоит минута разговора на моём тарифе;['сколько', 'стоить', 'минута', 'разговор', 'тариф'];сколько стоить минута разговор тариф;2;costs;1.2086532;16.431421
"Здравствуйте! Подскажите пожалуйста какая стоимость исходящих звонков и смс на других операторов на тарифе ""Плутон""";['здравствуйте', 'подсказать', 'пожалуйста', 'стоимость', 'исходящий', 'звонок', 'смс', 'оператор', 'тариф', 'плутон'];здравствуйте подсказать пожалуйста стоимость исходящий звонок смс оператор тариф плутон;5;tariffs;-17.599403;-3.5663645
Привет, сколько у меня осталось мегабайт;['привет', 'сколько', 'остаться', 'мегабайт'];привет сколько остаться мегабайт;6;balance_2;-5.9021916;11.284595
где взять пин для интернета;['взять', 'пин', 'интернет'];взять пин интернет;4;pin-codes;15.468331;-3.6883724
Как стоимость одной смс в Москву?;['стоимость', 'смс', 'москва'];стоимость смс москва;5;tariffs;-3.6114998;-11.021941
Не подскажите, сколько бесплатных минут у меня осталось?;['подсказать', 'сколько', 'бесплатный', 'минута', 'остаться'];подсказать сколько бесплатный минута остаться;6;balance_2;-6.6312237;14.662366
Ваша симка не работает;['ваш', 'симка', 'работать'];ваш симка работать;3;sim-cards;7.5874743;4.7207937
Хочу контролировать расход своего пакета. Как это делается?;['хотеть', 'контролировать', 'расход', 'свой', 'пакет', 'это', 'делаться'];хотеть контролировать расход свой пакет это делаться;1;balance_1;1.5481578;-1.6710739
Привет, пришлите пин для запуска интернета.Спасибо.;['привет', 'прислать', 'пин', 'запуск', 'интернет', 'спасибо'];привет прислать пин запуск интернет спасибо;4;pin-codes;10.599599;-11.270025
сколько минут идут с тарифом «Плутон;['сколько', 'минута', 'идти', 'тариф', 'плутон'];сколько минута идти тариф плутон;5;tariffs;-10.218721;-2.2665865
У меня тариф с абоненской платой, когда она будет списана?;['тариф', 'абоненский', 'плата', 'списать'];тариф абоненский плата списать;5;tariffs;0.9760067;-8.965563
короткий номер остаток минут;['короткий', 'номер', 'остаток', 'минута'];короткий номер остаток минута;1;balance_1;-8.8022;4.612141
"Здравствуйте! Звонки на тарифе ""Юпитер"" 700 минут из Нижегородской области (Россия) в Сибирь (Россия) будут бесплатными?";['здравствуйте', 'звонок', 'тариф', 'юпитер', 'минута', 'нижегородский', 'область', 'россия', 'сибирь', 'россия', 'бесплатный'];здравствуйте звонок тариф юпитер минута нижегородский область россия сибирь россия бесплатный;5;tariffs;-6.790324;-4.567889
Не помню PIN, а для интернета он нужен. Как его восстановить?;['помнить', 'pin', 'интернет', 'нужный', 'восстановить'];помнить pin интернет нужный восстановить;4;pin-codes;8.832793;-11.583876
стоимость входящего звонка в роуминге ;['стоимость', 'входящий', 'звонок', 'роуминг'];стоимость входящий звонок роуминг;5;tariffs;-15.084644;-5.051694
Помогите отключить пин код;['помочь', 'отключить', 'пин', 'код'];помочь отключить пин код;4;pin-codes;16.543781;3.717786
Здравствуйте. У меня не работает нано сим карта. Прошу устранить проблему.;['здравствуйте', 'работать', 'нано', 'сим', 'карта', 'просить', 'устранить', 'проблема'];здравствуйте работать нано сим карта просить устранить проблема;3;sim-cards;11.372688;6.8997808
Подскажите цену звонков за границу на Юпитер?;['подсказать', 'цена', 'звонок', 'граница', 'юпитер'];подсказать цена звонок граница юпитер;5;tariffs;-7.365557;-11.728715
"Сколько стоит sms в Армению с тарифа ""Сатурн""";['сколько', 'стоить', 'sms', 'армения', 'тариф', 'сатурн'];сколько стоить sms армения тариф сатурн;2;costs;1.8104553;9.1762085
Как узнать стоимость ваших услуг в роуминге, за границей.;['узнать', 'стоимость', 'ваш', 'услуга', 'роуминг', 'граница'];узнать стоимость ваш услуга роуминг граница;5;tariffs;-1.7632163;-7.4393306
Не очень понятно сколько стоит минута звонка внутри региона на тарифе Уран!;['очень', 'понятно', 'сколько', 'стоить', 'минута', 'звонок', 'внутри', 'регион', 'тариф', 'уран'];очень понятно сколько стоить минута звонок внутри регион тариф уран;2;costs;0.51321155;9.486752
у меня тарифный план Уран, сколько будет стоить минута разговора в роуминге?;['тарифный', 'план', 'уран', 'сколько', 'стоить', 'минута', 'разговор', 'роуминг'];тарифный план уран сколько стоить минута разговор роуминг;2;costs;2.4399254;14.750654
а что входит в тариф Деймос, можно спросить?;['входить', 'тариф', 'деймос', 'спросить'];входить тариф деймос спросить;5;tariffs;-0.46500272;-9.304025
Сколько стоят звонки на Куб;['сколько', 'стоять', 'звонок', 'куб'];сколько стоять звонок куб;5;tariffs;-12.807312;-6.223954
Если я захочу позвонить абонентам Тор, МФ или Конус, то сколько будет стоить минута? Мой тариф Плутон;['захотеть', 'позвонить', 'абонент', 'тор', 'мф', 'конус', 'сколько', 'стоить', 'минута', 'тариф', 'плутон'];захотеть позвонить абонент тор мф конус сколько стоить минута тариф плутон;2;costs;0.80179995;8.8675
в телефоне на 2 слота ваши симки не работают;['телефон', 'слот', 'ваш', 'симка', 'работать'];телефон слот ваш симка работать;3;sim-cards;6.726702;3.358609
я сегодня есь день болтала, осталось у меня что-то из пакета или нет? Как узнать?;['сегодня', 'есь', 'день', 'болтать', 'остаться', 'пакет', 'узнать'];сегодня есь день болтать остаться пакет узнать;6;balance_2;-3.722862;4.7249346
сколько бесплатных минут в тарифе Плутон;['сколько', 'бесплатный', 'минута', 'тариф', 'плутон'];сколько бесплатный минута тариф плутон;6;balance_2;-11.244103;-2.0211875
Что надо набрать, чтобы посмотреть остаток пакета, интересует интернет и минуты. Тариф Фавн;['набрать', 'посмотреть', 'остаток', 'пакет', 'интересовать', 'интернет', 'минута', 'тариф', 'фавн'];набрать посмотреть остаток пакет интересовать интернет минута тариф фавн;1;balance_1;-9.48806;2.998157
Добрый день. Как посмотреть сколько трафика и минут я уже потратил?;['добрый', 'день', 'посмотреть', 'сколько', 'трафик', 'минута', 'потратить'];добрый день посмотреть сколько трафик минута потратить;6;balance_2;-3.1978993;4.763275
посмотрите мне сколько ещё можно смсок отправить;['посмотреть', 'сколько', 'ещё', 'смска', 'отправить'];посмотреть сколько ещё смска отправить;6;balance_2;-2.2097957;4.5511546
По тарифу _Плутон, 2гб интернет трафика даётся по всей России?;['тариф', 'плутон', 'гб', 'интернет', 'трафик', 'даваться', 'весь', 'россия'];тариф плутон гб интернет трафик даваться весь россия;5;tariffs;-7.5880075;-13.0341625
А звонки в другие города входят в 400мин пакет Сатурн?;['звонок', 'город', 'входить', 'мин', 'пакет', 'сатурн'];звонок город входить мин пакет сатурн;5;tariffs;-3.9870331;-7.6142607
Почему приходит смс что я в роуминге?;['почему', 'приходить', 'смс', 'роуминг'];почему приходить смс роуминг;5;tariffs;0.049522493;-4.312741
Добрый день. Отличается ли на тарифе Уран стоимость связи по городам России или везде одинакова, как и указано на сайте?;['добрый', 'день', 'отличаться', 'тариф', 'уран', 'стоимость', 'связь', 'город', 'россия', 'везде', 'одинаковый', 'указать', 'сайт'];добрый день отличаться тариф уран стоимость связь город россия везде одинаковый указать сайт;5;tariffs;-1.5630027;-11.139985
здравствуйте. в роуминге интернет сколько будет стоить?;['здравствуйте', 'роуминг', 'интернет', 'сколько', 'стоить'];здравствуйте роуминг интернет сколько стоить;2;costs;3.6841528;11.710357
Привет, какие команды для того, тобы узнать остаток минут по пакету?;['привет', 'команда', 'тоба', 'узнать', 'остаток', 'минута', 'пакет'];привет команда тоба узнать остаток минута пакет;1;balance_1;-12.867411;6.197339
Как подключить новую симку  на телефоне sony ericsson experia x8? ;['подключить', 'новый', 'симка', 'телефон', 'sony', 'ericsson', 'experia', 'x'];подключить новый симка телефон sony ericsson experia x;3;sim-cards;9.680954;-4.246848
Сколько минут исходящих звонков включено в мой пакет?;['сколько', 'минута', 'исходящий', 'звонок', 'включить', 'пакет'];сколько минута исходящий звонок включить пакет;6;balance_2;-5.678568;5.4694457
Как-то можно восстановить работоспособность сим-карты Сфера?!;['восстановить', 'работоспособность', 'сим', 'карта', 'сфера'];восстановить работоспособность сим карта сфера;3;sim-cards;11.77503;8.361135
остаток по пакету как просмотреть?;['остаток', 'пакет', 'просмотреть'];остаток пакет просмотреть;1;balance_1;-9.4612465;5.0109687
Бесплатными минутами разговоров тарифа Сатурн я могу воспользоваться из любой точки России?;['бесплатный', 'минута', 'разговор', 'тариф', 'сатурн', 'мочь', 'воспользоваться', 'любой', 'точка', 'россия'];бесплатный минута разговор тариф сатурн мочь воспользоваться любой точка россия;5;tariffs;-1.917243;2.0409348
запрашиваю пин для интернета;['запрашивать', 'пин', 'интернет'];запрашивать пин интернет;4;pin-codes;14.990204;-5.0516443
"Добрый день. скажите, пжл, какая стоимость прослушивания голосового сообщения по тарифу ""Сатурн""?";['добрый', 'день', 'сказать', 'пжл', 'стоимость', 'прослушивание', 'голосовой', 'сообщение', 'тариф', 'сатурн'];добрый день сказать пжл стоимость прослушивание голосовой сообщение тариф сатурн;5;tariffs;-4.4332294;-7.8568645
Проблема использования сим во втором слоте телефона;['проблема', 'использование', 'сим', 'второй', 'слот', 'телефон'];проблема использование сим второй слот телефон;3;sim-cards;9.144339;0.1495698
Нужно всего лишь выяснить состояние остатка на моем счете;['нужно', 'весь', 'лишь', 'выяснить', 'состояние', 'остаток', 'счёт'];нужно весь лишь выяснить состояние остаток счёт;1;balance_1;0.48093212;-0.6849552
стоимость смс в роуминге;['стоимость', 'смс', 'роуминг'];стоимость смс роуминг;5;tariffs;-5.831037;-10.228416
объясните действие пакет минут на тарифе Сатурн в роуминге?;['объяснить', 'действие', 'пакет', 'минута', 'тариф', 'сатурн', 'роуминг'];объяснить действие пакет минута тариф сатурн роуминг;5;tariffs;-5.711576;-1.5472281
А правда что переход на Плутон бесплатен?;['правда', 'переход', 'плутон', 'бесплатный'];правда переход плутон бесплатный;5;tariffs;-2.5231442;-9.9296875
пишут, что симка неактивна;['писать', 'симка', 'неактивный'];писать симка неактивный;3;sim-cards;7.495505;-5.1268005
моя сим-карта, кажется, сломалась, сеть не ловит;['сим', 'карта', 'казаться', 'сломаться', 'сеть', 'ловить'];сим карта казаться сломаться сеть ловить;3;sim-cards;11.326752;6.792853
Здравствуйте! Подскажите, пожалуйста, можно ли сделать так, что при звонках на Сфера своего региона пакет минут не расходовался на тарифе Сатурн?;['здравствуйте', 'подсказать', 'пожалуйста', 'сделать', 'звонок', 'сфера', 'свой', 'регион', 'пакет', 'минута', 'расходоваться', 'тариф', 'сатурн'];здравствуйте подсказать пожалуйста сделать звонок сфера свой регион пакет минута расходоваться тариф сатурн;5;tariffs;-10.375982;-6.2376423
какова стоимость интернета в роуминге?;['каков', 'стоимость', 'интернет', 'роуминг'];каков стоимость интернет роуминг;5;tariffs;-6.829487;-13.759594
Если у меня закончились 400 минут, сколько стоимость одной минуты разговора на звонки Сфера?;['закончиться', 'минута', 'сколько', 'стоимость', 'минута', 'разговор', 'звонок', 'сфера'];закончиться минута сколько стоимость минута разговор звонок сфера;5;tariffs;0.96839654;4.989439
